Ref,Val,Package,PosX,PosY,Rot,Side
"C22","2.2uF","C_0805_2012Metric",187.200000,-62.850000,90.000000,top
"C23","2.2uF","C_0805_2012Metric",184.050000,-67.250000,90.000000,top
"C24","2.2uF","C_0805_2012Metric",166.100000,-103.800000,90.000000,top
"C26","22nF","C_0603_1608Metric",148.996795,-85.798840,90.000000,top
"C32","22nF","C_0603_1608Metric",209.646795,-98.100000,180.000000,top
"C33","22nF","C_0603_1608Metric",160.321795,-77.550000,0.000000,top
"C34","22nF","C_0603_1608Metric",181.975000,-77.350000,90.000000,top
"C35","22nF","C_0603_1608Metric",198.946795,-95.250000,0.000000,top
"C36","22nF","C_0603_1608Metric",212.100000,-114.000000,90.000000,top
"C48","22nF","C_0603_1608Metric",205.596795,-61.225000,-90.000000,top
"C52","22nF","C_0603_1608Metric",160.421795,-93.550000,180.000000,top
"D1","STPS2L40AF","D_SMA",150.496795,-70.500000,180.000000,top
"D2","STPS2L40AF","D_SMA",224.896795,-114.150000,-90.000000,top
"J1","Conn_02x20_Odd_Even","PinHeader_2x20_P2.54mm_Vertical",220.706795,-58.340000,0.000000,top
"J4","CONN_02X03","PinHeader_2x03_P2.54mm_Vertical",191.346795,-73.990000,90.000000,top
"J6","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",232.986795,-115.230000,180.000000,top
"L1","2.2uH","L_1008_1210",175.200000,-62.750000,0.000000,top
"L2","2.2uH","L_1008_1210",172.370000,-67.300000,0.000000,top
"L3","2.2uH","L_1008_1210",156.950000,-107.800000,0.000000,top
"R1","33Ω","R_0603_1608Metric",226.746795,-58.400000,0.000000,top
"R2","33Ω","R_0603_1608Metric",226.721795,-71.000000,0.000000,top
"R5","33Ω","R_0603_1608Metric",226.721795,-83.900000,0.000000,top
"R6","33Ω","R_0603_1608Metric",226.696795,-96.550000,0.000000,top
"R9","15k","R_0603_1608Metric",193.246795,-62.050000,90.000000,top
"R11","10k","R_0603_1608Metric",208.196795,-69.025000,90.000000,top
"R12","10k","R_0603_1608Metric",213.746795,-59.700000,-90.000000,top
"R27","10k","R_0603_1608Metric",207.546795,-59.675000,-90.000000,top
"R28","10k","R_0603_1608Metric",211.196795,-69.025000,90.000000,top
"R29","1.1k","R_0603_1608Metric",210.646795,-59.675000,-90.000000,top
"R30","4.7k","R_0603_1608Metric",214.196795,-68.975000,90.000000,top
"R31","15k","R_0603_1608Metric",200.396795,-74.650000,180.000000,top
"R32","15k","R_0603_1608Metric",200.396795,-72.900000,180.000000,top
"R33","15k","R_0603_1608Metric",200.396795,-71.150000,180.000000,top
"R49","27","R_0603_1608Metric",196.896795,-66.000000,0.000000,top
"R50","27","R_0603_1608Metric",196.921795,-64.250000,0.000000,top
"RA1","15k","R_0603_1608Metric",182.100000,-60.200000,0.000000,top
"RA2","15k","R_0603_1608Metric",180.900000,-71.175000,90.000000,top
"RA3","15k","R_0603_1608Metric",162.000000,-107.725000,90.000000,top
"RB1","18k","R_0603_1608Metric",182.025000,-55.900000,180.000000,top
"RB2","4.7k","R_0603_1608Metric",175.000000,-71.175000,90.000000,top
"RB3","3.3k","R_0603_1608Metric",159.100000,-104.025000,-90.000000,top
"RP1","0","R_0805_2012Metric_Pad1.29x1.40mm_HandSolder_Jumper_NC",187.600000,-67.432500,-90.000000,top
"RP2","0","R_0805_2012Metric_Pad1.29x1.40mm_HandSolder_Jumper_NC",184.050000,-71.067500,-90.000000,top
"RP3","0","R_0805_2012Metric_Pad1.29x1.40mm_HandSolder_Jumper_NC",168.500000,-105.682500,-90.000000,top
"U1","LFE5U-85F-8BG381I","BGA-381_pitch0.8mm_dia0.4mm",192.600000,-85.000000,180.000000,top
"U2","MT48LC16M16A2TG","TSOP54",161.146795,-85.698840,90.000000,top
"U3","TLV62569DBV","TSOT-25",178.100000,-58.050000,-90.000000,top
"U4","TLV62569DBV","TSOT-25",170.950000,-71.200000,180.000000,top
"U5","TLV62569DBV","TSOT-25",154.650000,-103.800000,-90.000000,top
"U6","FT231XQ","FT231X-QFN-20-1EP_4x4mm_P0.5mm_EP2x2mm",192.246795,-66.412500,90.000000,top
"U8","SN74LVC8T245","DBQ24-L",175.600000,-114.000000,90.000000,top
"U9","SN74LVC8T245","DBQ24-L",203.600000,-104.000000,90.000000,top
"U10","IS25LP128F-JBLE","SOA008-150-208mil",210.846795,-64.450000,180.000000,top
"U11","SN74LVC8T245","DBQ24-L",189.600000,-114.000000,90.000000,top
"U12","SN74LVC8T245","DBQ24-L",189.600000,-104.000000,90.000000,top
"U13","SN74LVC8T245","DBQ24-L",203.600000,-114.000000,90.000000,top
"U14","SN74LVC8T245","DBQ24-L",217.600000,-114.000000,90.000000,top
"US1","MICRO_USB","USB-MICRO-B-FCI-10118192-0001LF",141.496795,-74.350000,-90.000000,top
"Y1","100Mhz","Crystal_SMD_7050_4Pads",206.756795,-94.100000,0.000000,top
